Female pin header 2x20 2.54mm THT vertical

Pin header 1x4 2.54mm THT vertical
Pin header 1x4 2.54mm THT vertical

Pin header 1x3 2.54mm THT vertical
Pin header 1x3 2.54mm THT vertical

Pin header 1x4 2.54mm THT vertical HC-SR04
Pin header 1x4 2.54mm THT vertical HC-SR04

Screw terminal block 2 pin 5.0mm THT

Electrolytic capacitor 2200uF 16V radial 5mm

Ceramic capacitor 100nF 1206 X7R 25V

Resistor 10k ohm 1206 1%
Resistor 10k ohm 1206 1%

Resistor 20k ohm 1206 1%
Resistor 20k ohm 1206 1%
